serie,i,j,rep,cola,llamadas,tiempo_acum_ns,ops_acum,ops_cascada_acum
C,18,18,0,binomial,29440,8559625,191854,0
C,18,18,0,binomial,29504,8579393,192307,0
C,18,18,0,binomial,29568,8601319,192740,0
C,18,18,0,binomial,29632,8621047,193166,0
C,18,18,0,binomial,29696,8642543,193667,0
C,18,18,0,binomial,29760,8663572,194131,0
C,18,18,0,binomial,29824,8684616,194607,0
C,18,18,0,binomial,29888,8705279,195068,0
C,18,18,0,binomial,29952,8726571,195558,0
C,18,18,0,binomial,30016,8746659,196027,0
C,18,18,0,binomial,30080,8765602,196454,0
C,18,18,0,binomial,30144,8784473,196900,0
C,18,18,0,binomial,30208,8805558,197367,0
C,18,18,0,binomial,30272,8825341,197845,0
C,18,18,0,binomial,30336,8845363,198291,0
C,18,18,0,binomial,30400,8864284,198755,0
C,18,18,0,binomial,30464,8883287,199193,0
C,18,18,0,binomial,30528,8901791,199627,0
C,18,18,0,binomial,30592,8920802,200078,0
C,18,18,0,binomial,30656,8939646,200543,0
C,18,18,0,binomial,30720,8959437,201000,0
C,18,18,0,binomial,30784,8978253,201435,0
C,18,18,0,binomial,30848,8997040,201895,0
C,18,18,0,binomial,30912,9016422,202329,0
C,18,18,0,binomial,30976,9033184,202753,0
C,18,18,0,binomial,31040,9051960,203204,0
C,18,18,0,binomial,31104,9069179,203639,0
C,18,18,0,binomial,31168,9088092,204060,0
C,18,18,0,binomial,31232,9107804,204463,0
C,18,18,0,binomial,31296,9125933,204895,0
C,18,18,0,binomial,31360,9145054,205325,0
C,18,18,0,binomial,31424,9163575,205748,0
C,18,18,0,binomial,31488,9182413,206220,0
C,18,18,0,binomial,31552,9201739,206630,0
C,18,18,0,binomial,31616,9220139,207078,0
C,18,18,0,binomial,31680,9239127,207524,0
C,18,18,0,binomial,31744,9257941,207931,0
C,18,18,0,binomial,31808,9277506,208411,0
C,18,18,0,binomial,31872,9295969,208863,0
C,18,18,0,binomial,31936,9315803,209273,0
C,18,18,0,binomial,32000,9335926,209691,0
